#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
224;J0454+4529;04:54:59.3;+45:29:46.7;160.706;1.243;1.389137;0.719871;20.83;*;*;
225;J0454+5543;04:54:07.7;+55:43:41.4;152.617;7.547;0.340729;2.934880;14.60;*;*;
226;J0455-6951;04:55:47.5;-69:51:34.3;281.290;-35.187;0.320423;3.120877;94.70;*;EXGAL:LMC;
227;J0456-69;04:56:30;-69:10;280.457;-35.334;0.117073;8.541675;103.00;*;EXGAL:LMC;
228;J0456-7031;04:56:02.5;-70:31:06.6;282.049;-34.966;0.800132;1.249794;100.30;*;EXGAL:LMC;
229;J0457+23;04:57:06;+23:34:00;178.305;-12.005;0.504900;1.980590;59.00;*;*;
230;J0457-6337;04:57:07.7;-63:37:30.4;273.816;-36.701;2.497012;0.400479;27.50;*;*;
231;J0457-69;04:57:02;-69:46;281.143;-35.113;0.231390;4.321701;91.00;*;EXGAL:LMC;
232;J0458-0505;04:58:37.1;-05:05:05.1;204.139;-27.348;1.883480;0.530932;47.81;*;*;
233;J0458-67;04:58:59;-67:43;278.670;-35.518;1.133900;0.881912;97.00;*;EXGAL:LMC;
234;J0459-0210;04:59:51.9;-02:10:06.6;201.444;-25.678;1.133077;0.882552;21.02;*;*;
235;J0501+4516;05:01:06.7;+45:16:33.9;161.547;1.949;5.762097;0.173548;*;*;OPT:[dml+11];
236;J0502+4654;05:02:04.5;+46:54:06.0;160.363;3.077;0.638565;1.566010;42.20;*;*;
237;J0502-6617;05:02:50.5;-66:17:58.8;276.869;-35.504;0.691251;1.446652;68.90;*;EXGAL:LMC;
238;J0506+50;05:06:14.1;+50:30:30;157.896;5.803;0.003390;294.985251;43.40;*;GRS:4FGL_J0506.1+5028[aab+22];
239;J0509+0856;05:09:22.2;+08:56:25.0;192.486;-17.931;0.004056;246.558157;38.33;ELL1;*;
240;J0509+37;05:09;+37:32;168.605;-1.562;2.496100;0.400625;30.00;*;*;
241;J0509+3801;05:09:31.7;+38:01:18.0;168.275;-1.187;0.076541;13.064834;69.08;DD;*;
242;J0509-6838;05:09:58.1;-68:38:46.0;279.461;-34.299;0.278754;3.587398;149.00;*;EXGAL:LMC[plg+24];
243;J0509-6845;05:09:55.2;-68:45:09.5;279.588;-34.279;0.307197;3.255239;92.60;*;EXGAL:LMC[plg+24];
244;J0511-6508;05:11:56.5;-65:08:36.3;275.250;-34.827;0.322062;3.104993;25.66;*;*;
245;J0514+4009_P;05:14:59;+40:10;167.165;0.932;2.625490;0.380881;106.50;*;*;
246;J0514-4002A;05:14:06.6;-40:02:48.8;244.514;-35.036;0.004991;200.377707;52.14;DDH;GC:NGC1851[fgri04];
247;J0514-4002B;05:14:06.7;-40:02:47.9;244.513;-35.036;0.002816;355.075809;52.08;*;GC:NGC1851[rfg+22];
248;J0514-4002C;05:14:06.6;-40:02:49.4;244.514;-35.036;0.005565;179.700978;52.05;*;GC:NGC1851[rfg+22];
249;J0514-4002D;05:14:06.7;-40:02:48.2;244.513;-35.036;0.004554;219.567890;52.22;BT;GC:NGC1851[rfg+22];
250;J0514-4002E;05:28:14.7;-40:02:48.0;245.018;-32.364;0.005596;178.700750;51.93;BT;GC:NGC1851[rfg+22];
251;J0514-4002F;05:14:06.7;-40:02:48.5;244.513;-35.036;0.004329;230.978889;51.62;BT;GC:NGC1851[rfg+22];
252;J0514-4002G;05:14:06.6;-40:02:48.1;244.513;-35.036;0.003803;262.964132;50.96;BT;GC:NGC1851[rfg+22];
253;J0514-4002H;05:14:06.6;-40:02:48;244.513;-35.037;0.005506;181.616752;52.23;BT;GC:NGC1851[rfg+22];
254;J0514-4002I;05:14:06.7;-40:02:48.2;244.513;-35.036;0.032654;30.623932;52.58;BT;GC:NGC1851[rfg+22];
255;J0514-4002J;05:14:06.7;-40:02:48;244.513;-35.036;0.006633;150.763618;52.02;*;GC:NGC1851[rfg+22];
256;J0514-4002K;05:14:06.8;-40:02:48;244.513;-35.036;0.004692;213.128730;51.93;*;GC:NGC1851[rfg+22];
257;J0514-4002L;05:14:06.8;-40:02:48.0;244.513;-35.036;0.002959;337.974855;51.24;BT;GC:NGC1851[rfg+22];
258;J0514-4002M;05:14:06.8;-40:02:48;244.513;-35.036;0.004798;208.428863;51.68;*;GC:NGC1851[rfg+22];
259;J0514-4002N;05:14:06.7;-40:02:47;244.513;-35.036;0.005568;179.600927;51.07;*;GC:NGC1851[rfg+22];
260;J0514-4408;05:14:52.1;-44:08:37.3;249.515;-35.365;0.320271;3.122357;15.12;*;GRS:4FGL_J0514.6-4408[saa+23];
261;J0517+2212;05:17:17.1;+22:12:51.9;182.176;-9.012;0.222367;4.497080;18.30;*;*;
262;J0517+3436_P;05:17:54;+34:36;172.037;-1.824;1.595838;0.626630;191.70;*;*;
263;J0518+2431;05:18:14.0;+24:31:19;180.376;-7.530;2.636940;0.379227;73.76;*;*;
264;J0518+5125;05:18:26.1;+51:25:58.7;158.262;7.903;0.912512;1.095876;39.24;*;*;
265;J0518+5416;05:18:53.1;+54:16:50.0;155.916;9.557;0.340203;2.939424;42.30;*;*;
266;J0518-6939;05:18:15.5;-69:39:45.2;280.463;-33.359;0.330210;3.028376;254.20;*;EXGAL:LMC[plg+24];
267;J0518-6946;05:18:58.3;-69:46:16.7;280.575;-33.276;1.690414;0.591571;82.00;*;EXGAL:LMC[plg+24];
268;J0519+44;05:19;+44;164.464;3.754;0.515000;1.941748;52.00;*;*;
269;J0519-6931;05:19:08.3;-69:31:25.6;280.282;-33.312;0.377736;2.647353;82.70;*;EXGAL:LMC[plg+24];
270;J0519-6932;05:19:46.9;-69:32:23.4;280.287;-33.254;0.263212;3.799224;118.86;*;EXGAL:LMC;
271;J0520+3722_P;05:20:13;+37:22;170.040;0.148;0.007915;126.342388;89.00;*;*;
272;J0520-2553;05:20:36.1;-25:53:12.2;228.434;-30.543;0.241642;4.138350;33.72;*;*;
273;J0521-68;05:21:44;-68:35;279.124;-33.262;0.433421;2.307227;136.00;*;EXGAL:LMC;
274;J0522-6847;05:22:23.0;-68:47:02.2;279.348;-33.168;0.674532;1.482510;126.45;*;EXGAL:LMC;
275;J0523-7125;05:23:48.6;-71:25:52.5;282.415;-32.547;0.322500;3.100775;157.50;*;EXGAL:LMC;
276;J0525+1115;05:25:56.5;+11:15:18.7;192.695;-13.245;0.354438;2.821371;79.42;*;*;
277;J0525-6607;05:26:00.9;-66:04:36.3;276.087;-33.246;8.047000;0.124270;*;*;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];
278;J0526+3158_P;05:26:03;+31:58;175.173;-1.916;0.022998;43.482042;155.00;*;*;
279;J0528+2200;05:28:52.2;+22:00:04;183.856;-6.896;3.745539;0.266984;50.87;*;*;
280;J0528+3529_P;05:28:28;+35:29;172.531;0.459;0.078241;12.781023;111.90;*;*;
281;J0529-0715;05:29:08.9;-07:15:26.4;210.065;-21.582;0.689224;1.450908;87.30;*;*;
282;J0529-6652;05:29:50.9;-66:52:39.9;276.975;-32.763;0.975737;1.024867;103.31;*;EXGAL:LMC;
283;J0530-3847;05:30:09.7;-38:47:05.3;243.633;-31.771;0.906502;1.103142;*;*;*;
284;J0530-39;05:30;-39;243.875;-31.843;0.907000;1.102536;48.50;*;*;
285;J0532-6639;05:32:59.5;-66:39:37.3;276.675;-32.481;0.642743;1.555832;69.20;*;EXGAL:LMC;
286;J0532-69;05:32:04;-69:46;280.333;-32.163;1.149196;0.870174;124.00;*;EXGAL:LMC;
287;J0533+0402;05:33:25.8;+04:02:00.1;200.085;-15.326;0.963018;1.038402;83.70;*;*;
288;J0533+2805_P;05:33:41;+28:05;179.328;-2.674;0.023217;43.071887;111.20;*;*;
289;J0533+6759;05:33:55.1;+67:59:17.4;144.780;18.183;0.004388;227.885949;57.37;*;GRS:4FGL_J0533.8+6800[aab+22];
290;J0533-4524;05:33:13.8;-45:24:50.2;251.461;-32.264;0.157285;6.357905;18.93;*;*;
291;J0534+2200;05:34:31.9;+22:00:52.1;184.557;-5.784;0.033392;29.946923;56.77;*;GRS:4FGL_J0534.5+2200[aab+22],SNR:Crab[c;
292;J0534+34;05:34:30;+34:07;174.353;0.746;*;*;24.50;*;*;
293;J0534-13;05:34;-13;216.227;-22.957;0.979000;1.021450;74.30;*;*;
294;J0534-6703;05:34:36.1;-67:03:48.8;277.129;-32.279;1.817565;0.550187;95.30;*;EXGAL:LMC;
295;J0534-6905;05:34:54.6;-69:05:57.9;279.512;-32.008;0.842782;1.186546;244.00;*;EXGAL:LMC[plg+24];
296;J0535-66;05:35:40;-66:52;276.884;-32.197;0.210524;4.750044;75.00;*;EXGAL:LMC;
297;J0535-6935;05:35;-69:35;280.076;-31.936;0.200511;4.987249;93.70;*;EXGAL:LMC;
298;J0536-7543;05:36:30.8;-75:43:54.3;287.161;-30.821;1.245856;0.802661;18.58;*;*;
299;J0537-69;05:37:43;-69:21;279.768;-31.730;0.112613;8.879953;273.00;*;EXGAL:LMC;
300;J0537-6910;05:37:47.4;-69:10:19.8;279.559;-31.745;0.016122;62.026190;*;*;EXGAL:LMC,SNR:N157B[mgz+98],PWN:N157B[wg;
301;J0538+2817;05:38:25.0;+28:17:09.1;179.719;-1.686;0.143158;6.985276;39.57;*;SNR:S147[acj+96];
302;J0540+3207;05:40:37.1;+32:07:37.3;176.719;0.761;0.524271;1.907410;61.97;*;*;
303;J0540+4542;05:40:07.9;+45:42:52.6;165.073;7.827;0.401141;2.492886;56.12;*;*;
304;J0540-6919;05:40:11.2;-69:19:54.1;279.717;-31.516;0.050570;19.774686;147.20;*;GRS:4FGL_J0540.3-6920[aab+22],EXGAL:LMC,;
305;J0540-7125;05:40:30.8;-71:25:31.4;282.148;-31.236;1.286015;0.777596;29.41;*;*;
306;J0541+2959_P;05:41:44;+29:59;178.665;-0.171;0.003207;311.817898;67.30;*;*;
307;J0541+3335_P;05:41:41;+33:35;175.601;1.721;0.113651;8.798867;89.20;*;*;
308;J0542-68;05:42:35;-68:16;278.449;-31.406;0.425189;2.351895;114.00;*;EXGAL:LMC;
309;J0543+2329;05:43:09.6;+23:29:05;184.363;-3.318;0.245975;4.065458;77.70;*;XRS:[pb15];
310;J0543-6851;05:43:52.7;-68:51:25.3;279.125;-31.235;0.708954;1.410528;134.90;*;EXGAL:LMC;
311;J0544+20;05:44:12;+20:50;186.756;-4.495;*;*;56.90;*;*;
312;J0545-03;05:45;-03:10;208.094;-16.213;1.073930;0.931159;67.20;*;*;
313;J0546+2441;05:46:28.7;+24:41:21;183.728;-2.045;2.843850;0.351636;73.81;*;*;
314;J0550+09;05:50:28;+09:51;197.055;-8.774;1.745000;0.573066;86.60;*;*;
315;J0553+4111;05:53:30;+41:20;170.124;7.701;0.559493;1.787331;38.00;*;*;
316;J0554+3107;05:54:05.0;+31:07:41;179.058;2.697;0.464961;2.150718;*;*;GRS:4FGL_J0554.1+3107[aab+22],SNR:G179.0;
317;J0555+3948;05:55;+39:48;171.610;7.192;1.146906;0.871911;37.00;*;*;
318;J0555-7056;05:55:01.8;-70:56:45.6;281.460;-30.119;0.827838;1.207966;72.90;*;EXGAL:LMC;
319;J0556-67;05:56:25;-67:29;277.454;-30.150;0.790549;1.264943;71.00;*;EXGAL:LMC;
320;J0557+1550;05:57:31.4;+15:50:06.0;192.684;-4.309;0.002556;391.180128;102.57;ELL1;*;
321;J0557+2442_P;05:57:20;+24:42;184.976;0.082;1.482164;0.674689;195.10;*;*;
322;J0557-2948;05:57:32.9;-29:48:16.8;235.470;-23.989;0.043643;22.913372;49.03;*;*;
323;J0600-5756;06:00:46.5;-57:56:54;266.492;-29.343;2.261365;0.442211;30.00;*;*;
324;J0601-0527;06:01:58.9;-05:27:51.0;212.199;-13.481;0.395970;2.525442;80.54;*;*;
325;J0605+1937_P;06:05:54;+19:37;190.375;-0.710;0.698186;1.432283;116.80;*;*;
326;J0605+3757;06:05:05.5;+37:57:35.9;174.193;8.022;0.002728;366.575069;20.95;BT;GRS:4FGL_J0605.1+3757[aab+22];
327;J0608+00;06:08:49;+00:39;207.445;-9.171;1.076200;0.929195;48.50;*;*;
328;J0608+1635;06:08:51.6;+16:35:09.4;193.366;-1.569;0.945845;1.057256;85.60;*;*;
329;J0609+2130;06:09:58.8;+21:30:02.8;189.192;1.040;0.055698;17.953962;38.73;*;*;
330;J0610-2100;06:10:13.6;-21:00:27.7;227.746;-18.184;0.003861;258.978475;60.67;ELL1;GRS:4FGL_J0610.2-2100[aab+22],OPT:[pmd+1;
331;J0611+04;06:11:18;+04:06;204.655;-7.012;1.674430;0.597218;69.90;*;*;
332;J0611+1436;06:11:18.6;+14:36:52;195.378;-2.004;0.270329;3.699190;43.99;*;*;
333;J0611+30;06:11:16;+30:16;181.624;5.496;1.412090;0.708170;45.26;*;*;
334;J0612+3721;06:12:48.6;+37:21:37.3;175.450;9.093;0.297982;3.355904;27.15;*;*;
335;J0612+37216;06:12:44.1;+37:21:40;175.442;9.080;0.443871;2.252905;39.27;*;*;
336;J0613+3731;06:13:12.1;+37:31:38.3;175.336;9.239;0.619198;1.614992;18.99;*;*;
337;J0613-0200;06:13:43.9;-02:00:47.3;210.413;-9.305;0.003062;326.600562;38.78;T2;GRS:4FGL_J0613.7-0201[aab+22];
338;J0614+2229;06:14:17.0;+22:29:56.8;188.795;2.394;0.334960;2.985431;96.91;*;*;
339;J0614+83;06:14;+83:14;130.353;25.833;1.039200;0.962279;44.20;*;*;
340;J0614-3329;06:14:10.3;-33:29:54.1;240.501;-21.827;0.003149;317.594455;37.05;ELL1;GRS:4FGL_J0614.1-3329[aab+22];
341;J0620+1711_P;06:20:30;+17:11;194.171;1.162;0.441029;2.267425;146.90;*;*;
342;J0621+0336;06:21:11.2;+03:36:45.5;206.246;-5.058;0.269954;3.704333;72.59;*;*;
343;J0621+1002;06:21:22.1;+10:02:38.7;200.570;-2.013;0.028854;34.657407;36.55;DD;*;
344;J0621+2514;06:21:10.8;+25:14:03.8;187.120;5.073;0.002722;367.405552;83.63;ELL1;GRS:4FGL_J0621.2+2512[aab+22];
345;J0621-55;06:20:42;-56:05;264.804;-26.411;*;*;22.00;*;*;
346;J0622+0338_P;06:22:19;+03:39;206.344;-4.791;0.008771;114.012085;79.40;*;*;
347;J0622+3749;06:22:10.5;+37:49:13.6;175.877;10.958;0.333208;3.001126;*;*;GRS:4FGL_J0622.2+3749[aab+22];
348;J0623+0220_P;06:23:24;+02:20;207.641;-5.161;0.472201;2.117742;32.10;*;*;
349;J0623+0340;06:23:46.7;+03:40:06.8;206.497;-4.459;0.613760;1.629302;54.00;*;*;
350;J0624-0424;06:24:20.0;-04:24:50.4;213.792;-8.036;1.039077;0.962392;70.83;*;*;
351;J0625+10;06:25:45;+10:16;200.878;-0.956;0.498397;2.006433;78.00;*;*;
352;J0625+1403_P;06:25:06;+14:03;197.458;0.670;0.727905;1.373806;134.50;*;*;
353;J0626+0853_P;06:26:01;+08:53;202.132;-1.543;0.001658;603.136309;141.80;*;*;
354;J0627+0649;06:27:53.6;+06:49:54.0;204.166;-2.085;0.346523;2.885809;86.66;*;*;
355;J0627+0706;06:27:44.1;+07:06:33.7;203.902;-1.991;0.475890;2.101328;138.25;*;*;
356;J0627+16;06:27:13;+16:12;195.793;2.124;2.180000;0.458716;113.00;*;*;
357;J0628+0909;06:28:36.1;+09:09:13.9;202.190;-0.851;1.241421;0.805528;87.90;*;*;
358;J0629+2415;06:29:05.7;+24:15:41.5;188.817;6.223;0.476623;2.098095;84.18;*;*;
359;J0630+1002_P;06:30:24;+10:02;201.616;-0.051;2.881471;0.347045;149.30;*;*;
360;J0630+19;06:30:04;+19:37;193.071;4.303;1.248550;0.800929;48.10;*;*;
361;J0630-0046;06:30:26.9;-00:46:05.8;211.220;-5.020;0.680575;1.469346;97.30;*;*;
362;J0630-2834;06:30:49.3;-28:34:42.6;236.952;-16.758;1.244427;0.803583;34.63;*;XRS:RX_J0630.8-2834[bjk+05];
363;J0631+0646;06:31:52.3;+06:46:14.2;204.678;-1.238;0.110979;9.010718;195.20;*;GRS:4FGL_J0631.8+0645[aab+22];
364;J0631+1036;06:31:27.5;+10:37:03.7;201.219;0.450;0.287841;3.474139;125.30;*;GRS:4FGL_J0631.5+1036[aab+22];
365;J0633+0632;06:33:44.2;+06:32:34.9;205.093;-0.932;0.297395;3.362529;*;*;GRS:4FGL_J0633.7+0632[aab+22],XRS:Swift_;
366;J0633+1746;06:33:54.1;+17:46:12.9;195.134;4.266;0.237099;4.217640;2.89;*;GRS:4FGL_J0633.9+1746[aab+22],XRS:1E0630;
367;J0633-2015;06:33:08.8;-20:15:07.1;229.260;-12.968;3.253211;0.307389;90.70;*;*;
368;J0635+0533;06:35:18;+05:33:11;206.151;-1.043;0.033856;29.536430;*;*;OPT:Be-star;
369;J0636+5128;06:36:04.8;+51:28:59.9;163.909;18.643;0.002869;348.559232;11.11;T2;XRS:[ska+16],GRS:[sbc+19];
370;J0636-23;06:36;-23;232.113;-13.492;0.476000;2.100840;59.12;*;*;
371;J0636-3044;06:36:34.3;-30:44:01.1;239.526;-16.416;0.003946;253.436600;15.46;*;*;
372;J0636-4549;06:36:33.7;-45:49:32.6;254.547;-21.547;1.984597;0.503881;26.31;*;*;
373;J0637+0332_P;06:37:40;+03:32;208.217;-1.446;*;*;152.00;*;*;
374;J0639+0828_P;06:39:53;+08:28;204.084;1.305;*;*;290.10;*;*;
375;J0639-0704;06:39:58.6;-07:04:38.2;217.950;-5.758;0.986486;1.013699;105.06;*;*;
376;J0640-0139;06:40:45.2;-01:39:49.6;213.196;-3.135;0.003461;288.892721;149.98;*;*;
377;J0641+0359_P;06:41:12;+03:59;208.220;-0.457;0.646206;1.547494;160.40;*;*;
378;J0641+0448_P;06:41:33;+04:48;207.534;-0.005;0.025672;38.952945;155.10;*;*;
379;J0641+07;06:41:10;+07:44;204.882;1.252;*;*;52.00;*;*;
380;J0642+0238_P;06:42:12;+02:38;209.535;-0.852;0.729131;1.371496;146.70;*;*;
381;J0643+0348_P;06:43:01;+03:50;208.561;-0.122;1.144863;0.873467;122.00;*;*;
382;J0645+5158;06:45:59.0;+51:58:14.9;163.963;20.251;0.008853;112.949723;18.25;*;XRS:[ska+16];
383;J0645+80;06:46;+80:09;133.945;26.465;0.657870;1.520057;49.70;*;*;
384;J0646+0905;06:46:31.0;+09:05:48.6;204.271;3.051;0.903913;1.106301;149.56;*;*;
385;J0646-54;06:46:22.4;-54:52:57;264.400;-22.600;0.002510;398.406375;40.10;*;GRS:4FGL_J0646.4-5455[aab+22];
386;J0647+0913;06:47:15.6;+09:13:59.5;204.233;3.277;1.234854;0.809813;157.50;*;*;
387;J0648-27;06:48;-27;237.001;-12.645;4.169000;0.239866;132.50;*;*;
388;J0651-0054_P;06:51:08;-00:55;213.713;-0.486;1.050703;0.951744;150.00;*;*;
389;J0652-0142;06:52:11.1;-01:42:30.3;214.538;-0.613;0.924054;1.082188;116.30;*;*;
390;J0653+0443_P;06:53:04;+04:43;208.917;2.510;0.047534;21.037573;27.40;*;*;
391;J0653+4706;06:53:05.8;+47:06:26.9;169.259;19.783;0.004758;210.166607;25.50;ELL1;GRS:4FGL_J0652.9+4707[aab+22];
392;J0653+8051;06:53:15.0;+80:52:00.2;133.178;26.828;1.214441;0.823424;33.32;*;*;
393;J0653-06;06:53;-06:16;218.690;-2.507;0.790000;1.265823;83.70;*;*;
394;J0656-2228;06:56:30.2;-22:28:25.0;233.655;-8.982;1.224754;0.816490;32.55;*;*;
395;J0656-5449;06:56:48.9;-54:49:14.7;264.795;-21.141;0.183157;5.459799;66.10;*;*;
396;J0658+0022;06:58:15.2;+00:22:35.3;213.374;1.688;0.563295;1.775269;115.60;*;*;
397;J0658+2936;06:57:44.6;+29:36:29;186.671;14.275;0.823701;1.214033;39.00;*;*;
398;J0659+1414;06:59:48.2;+14:14:11.4;201.110;8.257;0.384937;2.597827;13.94;*;GRS:4FGL_J0659.7+1416[aab+22],SNR:Monoge;
399;J0659-36;06:59;-36;246.437;-14.139;0.637000;1.569859;83.40;*;*;
400;J0700+6418;07:00:37.8;+64:18:11.2;151.551;25.237;0.195671;5.110621;8.77;BT;*;
401;J0702-4956;07:02:39.3;-49:56:34.2;260.190;-18.723;0.665994;1.501516;98.70;*;*;
402;J0709+0458;07:09:08.3;+04:58:51.4;210.498;6.200;0.034429;29.045300;44.27;DDH;*;
403;J0709-5923;07:09:32.5;-59:23:55.6;270.029;-20.899;0.485268;2.060715;65.00;*;*;
404;J0711+0931;07:11:36.1;+09:31:25;206.674;8.776;1.214090;0.823662;46.24;*;*;
405;J0711-6830;07:11:54.1;-68:30:47.2;279.531;-23.280;0.005491;182.117235;18.41;*;*;
406;J0719-2545;07:19:07.3;-25:45:00.8;238.934;-5.826;0.974729;1.025926;253.89;*;*;
407;J0720-3125;07:20:24.9;-31:25:50.0;244.158;-8.165;8.391116;0.119174;*;*;XRS:RX_J0720.4-3125,OPT:[kva07];
408;J0721-2038;07:21:42.9;-20:38:07.0;234.669;-2.922;0.015542;64.340148;76.01;BT;*;
409;J0723-2050;07:23:04.8;-20:49:52;234.992;-2.733;0.711540;1.405402;130.00;*;*;
410;J0725-1635;07:25:00.4;-16:35:45.8;231.473;-0.330;0.424311;2.356760;98.98;*;*;
411;J0726-2612;07:26:08.1;-26:12:38.1;240.079;-4.644;3.442308;0.290503;69.40;*;XRS:1RXS_J072559.8-261229[skk11];
412;J0729-1448;07:29:16.2;-14:48:39.7;230.392;1.423;0.251736;3.972417;91.70;*;GRS:4FGL_J0729.3-1445[aab+22];
413;J0729-1836;07:29:32.3;-18:36:42.2;233.760;-0.341;0.510176;1.960107;61.29;*;*;
414;J0732+2314;07:32:37.5;+23:14:54.2;195.931;19.035;0.004090;244.490583;44.67;ELL1;*;
415;J0733-2345;07:33:24.6;-23:45:56.2;238.713;-2.030;1.796250;0.556715;190.20;*;*;
416;J0734+14;07:34:30;+14:43;204.331;16.059;1.772000;0.564334;50.00;*;*;
417;J0734-1559;07:34:45.6;-15:59:18.2;232.062;2.016;0.156250;6.400000;*;*;GRS:4FGL_J0734.7-1559[aab+22];
418;J0736-6304;07:36:20.0;-63:04:16;274.881;-19.153;4.862874;0.205640;19.40;*;*;
419;J0737-2202;07:37:44.0;-22:02:05.5;237.685;-0.318;0.320370;3.121390;95.70;*;*;
420;J0737-3039A;07:37:51.2;-30:39:40.7;245.236;-4.505;0.022699;44.054069;48.92;DDS;*;
421;J0737-3039B;07:37:51.2;-30:39:40.7;245.236;-4.505;2.773461;0.360560;48.92;DD;*;
422;J0738+6904;07:38:22.6;+69:04:20.0;146.593;29.377;6.827693;0.146462;17.22;*;*;
423;J0738-4042;07:38:32.2;-40:42:39.5;254.193;-9.192;0.374921;2.667229;160.70;*;*;
424;J0740+6620;07:40:45.7;+66:20:33.5;149.730;29.599;0.002886;346.531996;14.96;ELL1;GRS:4FGL_J0741.0+6618[aab+22];
425;J0741+17;07:41;+17:03;202.768;18.438;1.730000;0.578035;44.30;*;*;
426;J0742+4110;07:42:12.1;+41:10:14.8;178.128;26.575;0.003139;318.558897;20.81;ELL1;*;
427;J0742+4334;07:42:42.1;+43:34:02.2;175.536;27.214;0.606191;1.649646;36.26;*;*;
428;J0742-2822;07:42:48.9;-28:22:44.3;243.773;-2.445;0.166777;5.996034;73.76;*;GRS:4FGL_J0742.8-2822[aab+22];
429;J0744-2525;07:44;-25:25;241.334;-0.743;0.091996;10.870000;*;*;GRS:4FGL_J0744.0-2525[aab+22];
430;J0745-5353;07:45:04.4;-53:53:09.5;266.660;-14.283;0.214839;4.654659;121.38;*;*;
431;J0746-4529;07:46:59.5;-45:29:26.6;259.203;-10.103;2.791025;0.358291;134.57;*;*;
432;J0747+6646;07:47:39.6;+66:46:56.7;149.218;30.283;0.407701;2.452781;27.58;*;*;
433;J0749+5720;07:49:42.1;+57:20:52.3;160.152;30.310;1.174929;0.851115;*;*;*;
434;J0749-4247;07:49:49.6;-42:47:41.1;257.066;-8.349;1.095453;0.912864;104.18;*;*;
435;J0750+57;07:50;+57:00;160.557;30.327;1.174870;0.851158;26.70;*;*;
436;J0750-6846;07:50:35.8;-68:46:33.8;281.056;-20.048;0.915216;1.092638;54.60;*;*;
437;J0751+1807;07:51:09.1;+18:07:38.4;202.730;21.086;0.003479;287.457854;30.24;T2;GRS:4FGL_J0751.2+1808[aab+22];
438;J0753-0816;07:53:33;-08:19:35;227.607;9.771;2.093620;0.477642;38.00;*;*;
439;J0754+3231;07:54:40.6;+32:31:56.2;188.187;26.721;1.442349;0.693313;39.99;*;*;
440;J0758-1528;07:58:29.0;-15:28:08.2;234.464;7.224;0.682267;1.465703;63.23;*;*;
441;J0758-30;07:58;-30;246.856;-0.417;1.092000;0.915751;86.50;*;*;
442;J0758-3002;07:58:24.6;-30:02:20.5;246.936;-0.361;1.091870;0.915860;*;*;*;
443;J0802-5613;08:02;-56:13;269.950;-13.239;0.273973;3.650000;*;*;GRS:4FGL_J0802.1-5612[aab+22];
444;J0803+34;08:03:05;+34:19;186.778;28.890;*;*;34.00;*;*;
445;J0803-0942;08:03:26.8;-09:42:50.8;230.070;11.196;0.571257;1.750527;21.10;*;*;
446;J0804-3647;08:04:22.2;-36:47:35.5;253.331;-2.872;2.191987;0.456207;186.80;*;*;
447;J0806+08;08:06:05;+08:17;213.920;20.334;2.063100;0.484707;46.00;*;*;
448;J0806-4123;08:06:23.4;-41:22:30.9;257.426;-4.983;11.370386;0.087948;*;*;XRS:RX_J0806.4-4123[hmp98],OPT:[kkvh11];
449;J0807-5421;08:07:47.1;-54:21:26.1;268.726;-11.594;0.526644;1.898817;165.85;*;*;
450;J0808-3937;08:08:11.6;-39:37:52.9;256.134;-3.759;0.866349;1.154269;169.10;*;*;
451;J0809-4753;08:09:43.8;-47:53:54.8;263.301;-7.957;0.547203;1.827477;228.68;*;*;
452;J0811+37;08:11:12;+37:28;183.676;31.217;1.248300;0.801089;14.90;*;*;
453;J0812-3905;08:12:14.8;-39:05:48.9;256.111;-2.811;0.482596;2.072127;329.60;*;*;
454;J0813+22;08:13:54;+22:01;200.909;27.480;0.531400;1.881822;52.29;*;*;
455;J0814+7429;08:14:59.5;+74:29:05.7;139.998;31.618;1.292241;0.773849;5.75;*;*;
456;J0815+0939;08:15:08.7;+09:39:50.7;213.626;22.950;0.645161;1.550001;52.66;*;*;
457;J0815+4611;08:15:59.4;+46:11:53.2;173.626;33.453;0.434242;2.302862;11.20;*;*;
458;J0818-3049;08:18:49.3;-30:49:31;249.983;2.908;0.763742;1.309343;118.90;*;*;
459;J0818-3232;08:18:25.9;-32:32:30.4;251.358;1.875;2.161259;0.462693;131.80;*;*;
460;J0820-1350;08:20:26.4;-13:50:56.5;235.890;12.595;1.238131;0.807669;40.94;*;*;
461;J0820-3826;08:20:59.9;-38:26:43.1;256.523;-1.032;0.124837;8.010415;195.56;*;*;
462;J0820-3921;08:20:49.1;-39:21:55.7;257.261;-1.583;1.073567;0.931475;179.40;*;*;
463;J0820-4114;08:20:15.4;-41:14:35.3;258.749;-2.734;0.545446;1.833364;113.40;*;*;
464;J0821-4221;08:21:44.6;-42:21:25.4;259.825;-3.137;0.396730;2.520605;270.60;*;*;
465;J0821-4300;08:21:57.3;-43:00:17.0;260.382;-3.473;0.112799;8.865291;*;*;SNR:PUPPIS_A,XRS:RX_J0822-4300;
466;J0823+0159;08:23:09.7;+01:59:12.4;221.988;21.245;0.864873;1.156239;23.73;BT;*;
467;J0824+0028;08:24:24.8;+00:28:00.5;223.577;20.789;0.009861;101.406008;34.55;DDH;*;
