#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
140;J0231+7026;02:31:13.9;+70:26:33.8;131.155;9.181;1.466820;0.681747;46.68;*;*;
141;J0241+16;02:41:46;+16:04;157.964;-39.185;1.545400;0.647082;16.00;*;*;
142;J0242+62;02:42:35;+62:56:50;135.187;2.751;0.592000;1.689189;3.92;*;*;
143;J0243+6027;02:43;+60:27;136.271;0.500;1.473000;0.678887;141.00;*;*;
144;J0244+14;02:44:51;+14:27;159.914;-40.140;2.128100;0.469903;31.00;*;*;
145;J0248+4220_P;02:48:15;+42:15;144.951;-15.573;0.882502;1.133142;45.50;*;*;
146;J0248+4230;02:48:31.0;+42:30:20.4;144.877;-15.322;0.002601;384.491935;48.26;*;GRS:4FGL_J0248.6+4230[brj+21];
147;J0248+6021;02:48:18.6;+60:21:34.7;136.903;0.697;0.217094;4.606300;370.00;*;GRS:4FGL_J0248.4+6021[aab+22];
148;J0250+5854;02:50:17.7;+58:54:01.3;137.767;-0.505;23.535378;0.042489;45.28;*;*;
149;J0251+2606;02:51:02.5;+26:06:09.9;153.881;-29.486;0.002542;393.460010;20.22;ELL1;GRS:4FGL_J0251.0+2605[drc+21];
150;J0255-5304;02:55:56.3;-53:04:21.2;269.861;-55.310;0.447708;2.233596;17.94;*;*;
151;J0301+35;03:01;+35;150.915;-20.736;0.568040;1.760439;57.43;*;*;
152;J0302+2252;03:02:31.9;+22:52:12.1;158.436;-30.815;1.207165;0.828387;18.99;*;*;
153;J0304+1932;03:04:33.1;+19:32:52.1;161.135;-33.270;1.387586;0.720676;15.79;*;*;
154;J0305+11;03:05:06;+11:23;167.463;-39.662;0.862100;1.159958;27.97;*;*;
155;J0307+7443;03:07:55.8;+74:43:13.4;131.704;14.224;0.003156;316.847877;6.34;BT;GRS:4FGL_J0307.8+7443[aab+22],GRS:3FGL_J;
156;J0312-0921;03:12:06.2;-9:21:56;191.510;-52.378;0.003704;269.953947;20.50;ELL1;GRS:4FGL_J0312.1-0921[aab+22];
157;J0317+13;03:17:54;+13:29;168.763;-36.040;1.974300;0.506509;12.90;*;*;
158;J0318+0253;03:18:15.5;+02:53:01.4;178.457;-43.605;0.005190;192.683716;25.98;*;GRS:4FGL_J0318.2+0254[aab+22];
159;J0323+3944;03:23:26.6;+39:44:52.4;152.180;-14.338;3.032072;0.329807;26.19;*;*;
160;J0324+5239;03:24:55.4;+52:39:31.3;145.094;-3.480;0.336620;2.970707;115.46;*;*;
161;J0325+6744;03:25:05.1;+67:44:59.3;136.715;9.089;1.364679;0.732773;65.28;*;*;
162;J0329+1654;03:29:08.5;+16:54:02;168.499;-31.683;0.893320;1.119420;40.82;*;*;
163;J0332+5434;03:32:59.4;+54:34:43.3;144.995;-1.221;0.714520;1.399542;26.76;*;*;
